mql_id,seller_id,won_date,seller_orders,seller_order_items,first_order_date,last_order_date,delivered_orders,seller_gmv,seller_freight,unique_products,has_post_acquisition_orders,has_delivered_orders,days_to_first_order,origin,origin_group,first_contact_date,landing_page_id,business_segment,lead_type,lead_behaviour_profile,business_type,days_to_close,days_to_close_valid
5420aad7fec3549a85876ba1c529bd84,2c43fb513632d29b3b58df74816f1b06,2018-02-26 19:58:54,3.0,3.0,2018-06-20 21:40:18,2018-07-23 20:50:50,3.0,858.0,72.17,3.0,True,True,114.07041666666667,organic_search,organic_search,2018-02-21,b48ec5f3b04e9068441002a19df93c6c,pet,online_medium,cat,reseller,5.832569444444444,5.832569444444444
a555fb36b9368110ede0f043dfc3b9a0,bbb7d7893a450660432ea6652310ebb7,2018-05-08 20:17:59,0.0,0.0,,,0.0,0.0,0.0,0.0,False,False,,referral,referral,2018-04-04,2f08471dfb83baef522f952438a36f6e,car_accessories,industry,eagle,reseller,34.84582175925926,34.84582175925926
327174d3648a2d047e8940d7d15204ca,612170e34b97004b3ba37eae81836b4c,2018-06-05 17:27:23,107.0,110.0,2018-06-11 14:32:25,2018-08-22 10:02:13,107.0,23065.02,2307.06,48.0,True,True,5.87849537037037,organic_search,organic_search,2018-04-03,1ceb590cd1e00c7ee95220971f82693d,home_appliances,online_big,cat,reseller,63.727349537037036,63.727349537037036
f5fee8f7da74f4887f5bcae2bafb6dd6,21e1781e36faf92725dde4730a88ca0f,2018-01-17 13:51:03,0.0,0.0,,,0.0,0.0,0.0,0.0,False,False,,paid_search,paid_search,2018-01-14,22c29808c4f815213303f8933030604c,food_drink,online_small,,reseller,3.5771180555555557,3.5771180555555557
ffe640179b554e295c167a2f6be528e0,ed8cb7b190ceb6067227478e48cf8dde,2018-07-03 20:17:45,15.0,17.0,2018-07-19 15:36:35,2018-08-27 12:39:11,15.0,573.5,242.71,10.0,True,True,15.80474537037037,unknown,unknown,2017-10-09,a0fbc0263cb98bdb0d72b9f9f283a172,home_appliances,industry,wolf,manufacturer,267.8456597222222,267.8456597222222
b94fba7670eeb44dce2a0d8eb790e9f5,1c742ac33582852aaf3bcfbf5893abcf,2018-02-07 18:04:05,1.0,1.0,2018-06-22 16:07:51,2018-06-22 16:07:51,1.0,97.9,15.79,1.0,True,True,134.9192824074074,organic_search,organic_search,2018-02-06,40dec9f3d5259a3d2dbcdab2114fae47,health_beauty,online_medium,,manufacturer,1.7528356481481482,1.7528356481481482
c3e30ed7ac989117c7e1e719b4ac128f,92d7568ad0c5c76fd7d341b2d46f24d6,2018-04-16 18:18:22,0.0,0.0,,,0.0,0.0,0.0,0.0,False,False,,direct_traffic,direct_traffic,2018-02-20,e492ee5eaf1697716985cc6f33f9cd9b,computers,online_medium,wolf,reseller,55.76275462962963,55.76275462962963
b02c89251106e1fdd9d92744be9f94f2,44ed138eca6214d572ce1d813fb0049b,2018-04-17 17:01:57,2.0,3.0,2018-08-08 00:43:30,2018-08-21 09:31:11,2.0,129.79,56.01,2.0,True,True,112.32052083333333,unknown,unknown,2018-04-13,b76ef37428e6799c421989521c0e5077,health_beauty,offline,cat,manufacturer,4.7096875,4.7096875
a90a37898cc5f2718385a2fb981caaff,0b28859cd04d23edefee9c591fb03cd8,2018-05-14 18:37:15,0.0,0.0,,,0.0,0.0,0.0,0.0,False,False,,social,social,2018-04-27,58326e62183c14b0c03085c33b9fdc44,household_utilities,offline,eagle,reseller,17.775868055555556,17.775868055555556
0173e8d8b1d94a355b440fb67388f532,87d73636a3acf123e842bb890a4db036,2018-04-24 03:00:00,1.0,1.0,2018-07-25 15:17:58,2018-07-25 15:17:58,1.0,269.9,43.71,1.0,True,True,92.51247685185186,paid_search,paid_search,2017-10-18,007f9098284a86ee80ddeb25d53e0af8,household_utilities,online_medium,eagle,manufacturer,188.125,188.125
4e4e70d504b4c0006c8287dedc99d0fc,f7a0d94e966c5665355a182d5b199fcf,2018-02-28 19:42:14,0.0,0.0,,,0.0,0.0,0.0,0.0,False,False,,social,social,2018-02-04,88740e65d5d6b056e0cda098e1ea6313,construction_tools_house_garden,online_medium,cat,reseller,24.82099537037037,24.82099537037037
408a9c4a79800232ac656249af3162eb,b566ab0ef88016e00422755e305103c6,2018-02-23 13:54:40,5.0,5.0,2018-03-11 10:26:01,2018-07-23 13:26:43,5.0,1208.0,220.21999999999997,4.0,True,True,15.855104166666667,paid_search,paid_search,2018-02-21,b6885f18d203a61176418c1fb3764815,construction_tools_house_garden,online_big,cat,reseller,2.5796296296296295,2.5796296296296295
c556184b3fe2087834850b68fa435cee,2d2322d842118867781fc737e96d59a1,2018-05-22 13:24:08,8.0,10.0,2018-06-08 10:35:03,2018-08-25 21:20:50,8.0,176.4,104.97,5.0,True,True,16.88258101851852,direct_traffic,direct_traffic,2018-04-15,22c29808c4f815213303f8933030604c,household_utilities,online_medium,cat,reseller,37.558425925925924,37.558425925925924
67455a0673f5cf26deae5b270c003e83,e7012030d0fdd1d3ca504f6de7909c35,2018-06-14 14:30:20,0.0,0.0,,,0.0,0.0,0.0,0.0,False,False,,direct_traffic,direct_traffic,2018-01-23,30077c17f2ec5010a82e37ad8925b95f,toys,online_big,wolf,reseller,142.60439814814814,142.60439814814814
ab11f58a6bf7036a656364b0ba68fb74,9e7c5f4d7770eab65738cca38f9efccf,2018-04-10 03:00:00,2.0,2.0,2018-06-01 12:50:14,2018-08-07 01:27:47,2.0,184.8,38.08,2.0,True,True,52.40988425925926,paid_search,paid_search,2018-04-05,1ceb590cd1e00c7ee95220971f82693d,sports_leisure,online_medium,cat,reseller,5.125,5.125
bae38661a27f6228ba38c36e766ed769,6a6b1614baaaf766293c17d8cb8c5a9d,2018-09-10 14:18:01,0.0,0.0,,,0.0,0.0,0.0,0.0,False,False,,social,social,2018-02-18,88740e65d5d6b056e0cda098e1ea6313,stationery,industry,cat,reseller,204.5958449074074,204.5958449074074
450b97a48568c3118ff397f73abe4e4a,df91910b6a03bb2e3358fa6a35e32f6f,2018-04-10 19:21:54,14.0,14.0,2018-06-24 09:54:00,2018-08-14 21:21:39,13.0,2093.2,363.02,4.0,True,True,74.605625,referral,referral,2018-04-03,2f08471dfb83baef522f952438a36f6e,food_drink,online_medium,cat,manufacturer,7.806875,7.806875
9878253904482726e741460a99adba86,92d46311e4fa7583d14c351fdc881af6,2018-01-26 17:23:46,0.0,0.0,,,0.0,0.0,0.0,0.0,False,False,,organic_search,organic_search,2018-01-22,22c29808c4f815213303f8933030604c,food_supplement,industry,,manufacturer,4.724837962962963,4.724837962962963
ed3d878bf23177e7075ce07578841047,249f0e9905a6e06ad6c6bea7547ab9f6,2018-05-11 19:03:19,3.0,3.0,2018-06-25 01:10:48,2018-08-03 18:54:39,3.0,347.95,39.04,3.0,True,True,44.255196759259256,organic_search,organic_search,2018-05-09,22c29808c4f815213303f8933030604c,home_decor,online_medium,cat,manufacturer,2.7939699074074076,2.7939699074074076
119ce5d79e3c006a9e46967bff271cb2,b494891378bd8f4560abe576c52deacd,2018-06-19 14:08:22,20.0,22.0,2018-06-28 18:50:51,2018-08-20 00:59:32,19.0,2839.0,295.98,20.0,True,True,9.196168981481481,organic_search,organic_search,2018-05-24,22c29808c4f815213303f8933030604c,health_beauty,online_top,cat,reseller,26.58914351851852,26.58914351851852
1f4e960dc47c49ab5c2a495e00055f64,8c45b4bc4b5c1e2a4e789b4466a39b77,2018-02-07 13:57:02,0.0,0.0,,,0.0,0.0,0.0,0.0,False,False,,organic_search,organic_search,2017-12-15,40dec9f3d5259a3d2dbcdab2114fae47,bed_bath_table,offline,,reseller,54.58127314814815,54.58127314814815
05d287893f5f083739da863da2c4b6f8,49f6ca9231352dedda1ad1176ce70531,2018-04-16 13:09:09,0.0,0.0,,,0.0,0.0,0.0,0.0,False,False,,social,social,2018-03-29,58326e62183c14b0c03085c33b9fdc44,health_beauty,online_small,cat,reseller,18.548020833333332,18.548020833333332
0b97be8b4b408a3a0780a32e0a143a7f,7d13fca15225358621be4086e1eb0964,2018-02-08 17:20:14,565.0,578.0,2018-02-14 21:11:44,2018-08-25 13:51:01,558.0,112436.18000000001,8498.29,57.0,True,True,6.160763888888889,unknown,unknown,2018-01-22,b76ef37428e6799c421989521c0e5077,watches,online_big,,reseller,17.722384259259258,17.722384259259258
2552a7b886c1710f36be92ac29b1362d,efa89b428cbc422ba9313b4fc6feafc7,2018-02-16 12:31:56,0.0,0.0,,,0.0,0.0,0.0,0.0,False,False,,unknown,unknown,2018-01-09,b76ef37428e6799c421989521c0e5077,fashion_accessories,online_beginner,,manufacturer,38.52217592592593,38.52217592592593
59c0665c39a2bb9c8776d66f4e8b8f66,cb3666965a560e723403683bd378a5f7,2018-02-22 12:40:15,0.0,0.0,,,0.0,0.0,0.0,0.0,False,False,,direct_traffic,direct_traffic,2018-01-10,30077c17f2ec5010a82e37ad8925b95f,jewerly,online_medium,,manufacturer,43.52795138888889,43.52795138888889
4151b0029636a1c55afcce9283ac7902,e819bcfade7b5d88a27325eb6cfd62c5,2018-02-12 13:18:13,5.0,11.0,2018-07-20 14:35:51,2018-08-20 23:35:44,5.0,202.89999999999998,135.35,4.0,True,True,158.05391203703704,organic_search,organic_search,2018-02-05,22c29808c4f815213303f8933030604c,home_decor,industry,,manufacturer,7.55431712962963,7.55431712962963
fc4166d1b1e192f650ee2d807b54c943,70c27847eca8195c983ed7e798c56743,2018-02-08 20:57:44,77.0,98.0,2018-04-03 09:02:42,2018-08-22 21:34:37,77.0,12077.52,1451.66,20.0,True,True,53.50344907407408,social,social,2018-01-16,88740e65d5d6b056e0cda098e1ea6313,pet,online_small,,reseller,23.873425925925925,23.873425925925925
85e43237b3fb87d881c757f44f1b0357,556a6409838156ea299c9d1f9e2dde43,2018-04-06 20:52:54,4.0,4.0,2018-06-19 10:11:16,2018-08-11 23:28:46,4.0,1362.8,86.84,4.0,True,True,73.5544212962963,paid_search,paid_search,2018-03-26,40dec9f3d5259a3d2dbcdab2114fae47,household_utilities,industry,shark,reseller,11.870069444444445,11.870069444444445
9ce2e101957dc53e3e89cc8e1599aa60,a4fc6eadaff1576af888509a53420f6a,2018-04-13 12:27:48,1.0,1.0,2018-05-22 18:15:54,2018-05-22 18:15:54,1.0,100.86,20.76,1.0,True,True,39.24173611111111,paid_search,paid_search,2018-04-12,df99f969c517db441d373ae68b2955c9,computers,online_beginner,cat,reseller,1.5193055555555555,1.5193055555555555
